supplier_id,business_size,location_tier,owner_gender,years_active,on_time_delivery_rate,defect_rate,true_performance_score,ai_trust_score,contract_awarded
SUP-00000,0,0,1,20,89.7,3.1,52.99,40.95,0
SUP-00001,0,0,1,4,97.63,4.35,58.21,43.27,0
SUP-00002,0,0,0,2,89.68,4.88,37.37,18.17,0
SUP-00003,0,0,1,5,72.67,2.48,23.76,8.4,0
SUP-00004,1,1,0,1,85.46,0.27,68.96,66.11,0
SUP-00005,1,1,1,5,98.33,3.37,68.13,67.21,0
SUP-00006,1,0,0,6,75.34,2.54,28.62,22.27,0
SUP-00007,0,0,0,2,98.88,2.52,76.69,54.32,0
SUP-00008,0,0,1,1,97.62,1.89,79.57,70.66,0
SUP-00009,0,0,1,4,72.67,2.76,21.3,9.17,0
SUP-00010,1,1,1,7,99.77,1.52,87.13,87.81,1
SUP-00011,0,0,1,1,80.63,3.91,27.5,13.37,0
SUP-00012,0,0,1,1,94.6,2.95,64.23,53.28,0
SUP-00013,1,0,1,8,84.93,3.95,35.9,31.15,0
SUP-00014,1,0,1,20,86.78,2.45,52.72,46.33,0
SUP-00015,1,0,1,16,91.99,1.07,75.27,68.85,0
SUP-00016,0,1,1,13,93.76,4.33,50.49,48.04,0
SUP-00017,0,0,1,18,72.78,3.01,19.38,8.14,0
SUP-00018,0,0,1,20,89.2,1.43,66.47,53.2,0
SUP-00019,1,0,0,10,78.42,2.81,32.58,20.3,0
SUP-00020,0,0,1,12,81.23,2.11,44.37,33.11,0
SUP-00021,1,1,1,1,82.19,3.8,31.6,27.25,0
SUP-00022,1,1,0,10,86.6,2.04,55.89,53.55,0
SUP-00023,0,1,1,9,80.59,3.77,28.61,32.59,0
SUP-00024,0,0,0,3,73.41,0.93,38.75,19.13,0
SUP-00025,0,1,1,19,76.12,2.28,32.49,34.59,0
SUP-00026,1,1,1,9,73.87,4.42,9.25,9.95,0
SUP-00027,0,0,1,10,84.64,4.14,33.62,20.62,0
